# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-O" "-t" "gene" "-g" "locus_tag" "-a" "reference/S_aureus.gff" "-o" "counts/count.txt" "IGV/SRR20959676_GSM6435908_C-PJI04_Staphylococcus_aureus_RNA-Seq_sorted.bam" "IGV/SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_RNA-Seq_sorted.bam" "IGV/SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_RNA-Seq_sorted.bam" "IGV/SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_RNA-Seq_sorted.bam" "IGV/SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_RNA-Seq_sorted.bam" "IGV/SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_RNA-Seq_sorted.bam" "IGV/SRR20959682_GSM6435902_A-PJI02_Staphylococcus_aureus_RNA-Seq_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	IGV/SRR20959676_GSM6435908_C-PJI04_Staphylococcus_aureus_RNA-Seq_sorted.bam	IGV/SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_RNA-Seq_sorted.bam	IGV/SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_RNA-Seq_sorted.bam	IGV/SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_RNA-Seq_sorted.bam	IGV/SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_RNA-Seq_sorted.bam	IGV/SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_RNA-Seq_sorted.bam	IGV/SRR20959682_GSM6435902_A-PJI02_Staphylococcus_aureus_RNA-Seq_sorted.bam
SAOUHSC_00731	NC_007795.1	716262	717239	+	978	40	19	14	21	38	14	125
SAOUHSC_00732	NC_007795.1	717232	718746	+	1515	481	395	214	437	675	265	2210
SAOUHSC_00733	NC_007795.1	718986	720044	+	1059	384	25	120	59	67	34	90
SAOUHSC_00734	NC_007795.1	720395	720937	+	543	100	14	16	14	60	21	98
SAOUHSC_00735	NC_007795.1	721050	721148	+	99	162	0	2	55	40	8	4
SAOUHSC_00736	NC_007795.1	721561	722478	-	918	544	54	260	32	64	426	114
SAOUHSC_00737	NC_007795.1	722569	722670	+	102	0	0	0	0	0	0	0
SAOUHSC_00738	NC_007795.1	722748	724253	-	1506	109	17	24	46	60	52	203
SAOUHSC_00739	NC_007795.1	724594	725094	-	501	4	4	10	2	2	4	52
SAOUHSC_00740	NC_007795.1	725114	725848	-	735	13	18	4	4	14	4	38
SAOUHSC_00741	NC_007795.1	726781	727179	+	399	176	101	115	63	218	79	290
SAOUHSC_00742	NC_007795.1	727082	729247	+	2166	2079	460	973	579	1638	782	3206
SAOUHSC_00743	NC_007795.1	729365	730336	+	972	22	1	14	7	12	17	193
SAOUHSC_00744	NC_007795.1	730469	730573	+	105	0	0	0	0	0	0	0
SAOUHSC_00745	NC_007795.1	730850	731005	+	156	0	0	0	0	1	1	0
SAOUHSC_00746	NC_007795.1	731044	732015	+	972	7	0	16	3	7	3	22
SAOUHSC_00747	NC_007795.1	732002	732958	+	957	1	0	2	4	4	1	2
SAOUHSC_00748	NC_007795.1	732955	733716	+	762	1	0	2	9	1	0	16
SAOUHSC_00749	NC_007795.1	733835	734863	+	1029	0	0	8	2	0	6	35
SAOUHSC_00751	NC_007795.1	735180	735494	-	315	47	23	17	38	47	31	152
SAOUHSC_00752	NC_007795.1	735512	736435	-	924	94	9	96	133	97	79	307
SAOUHSC_00753	NC_007795.1	736562	737080	-	519	1	0	0	0	4	2	1
SAOUHSC_00754	NC_007795.1	737200	738078	+	879	3	0	6	6	8	5	4
SAOUHSC_00755	NC_007795.1	738232	738552	+	321	129	52	26	12	56	111	4
SAOUHSC_00756	NC_007795.1	738977	740101	+	1125	3	6	6	0	6	12	18
SAOUHSC_00757	NC_007795.1	740290	741516	-	1227	653	86	154	216	214	225	548
SAOUHSC_00758	NC_007795.1	741530	742024	-	495	77	0	50	29	38	65	111
SAOUHSC_00759	NC_007795.1	742042	742803	-	762	43	4	24	31	32	35	75
SAOUHSC_00760	NC_007795.1	742999	744069	-	1071	21	26	135	28	33	36	79
SAOUHSC_00762	NC_007795.1	744387	745442	+	1056	47	44	93	50	60	92	374
SAOUHSC_00763	NC_007795.1	745612	746253	-	642	74	4	14	4	35	12	140
SAOUHSC_00764	NC_007795.1	746397	746780	+	384	13	0	6	6	0	0	89
SAOUHSC_00765	NC_007795.1	747288	748226	+	939	26	13	9	7	39	33	111
SAOUHSC_00766	NC_007795.1	748219	748893	+	675	16	2	5	0	4	14	26
SAOUHSC_00767	NC_007795.1	748954	749526	+	573	11	0	6	16	5	8	258
SAOUHSC_00769	NC_007795.1	749940	752471	+	2532	872	218	1514	549	538	602	3426
SAOUHSC_00770	NC_007795.1	752513	752617	+	105	0	0	4	1	0	2	52
SAOUHSC_00771	NC_007795.1	753021	753896	+	876	52	12	44	28	41	10	177
SAOUHSC_00772	NC_007795.1	754050	754157	+	108	0	2	0	0	0	0	6
SAOUHSC_00773	NC_007795.1	754305	755144	+	840	151	5	95	20	8	0	365
SAOUHSC_00774	NC_007795.1	755318	755968	+	651	1	1	0	2	3	3	2
SAOUHSC_00775	NC_007795.1	755965	756201	+	237	0	0	0	1	0	0	1
SAOUHSC_00776	NC_007795.1	756470	757501	+	1032	133	13	38	80	48	32	50
SAOUHSC_00778	NC_007795.1	757511	758527	+	1017	14	28	33	20	26	16	24
SAOUHSC_00779	NC_007795.1	758680	759654	+	975	163	31	26	68	61	67	145
SAOUHSC_00780	NC_007795.1	759662	762508	+	2847	3599	784	775	1558	1479	1114	1548
SAOUHSC_00781	NC_007795.1	763170	764102	+	933	110	11	4	98	74	88	373
SAOUHSC_00782	NC_007795.1	764108	764947	+	840	40	9	46	10	38	72	125
SAOUHSC_00783	NC_007795.1	764955	765440	+	486	65	4	29	48	17	22	126
SAOUHSC_00784	NC_007795.1	765448	766887	+	1440	325	104	300	127	222	209	214
SAOUHSC_00785	NC_007795.1	766954	767889	+	936	2033	242	1466	762	1835	1254	2707
SAOUHSC_00786	NC_007795.1	768263	768688	-	426	792	10	50	34	39	98	90
SAOUHSC_00787	NC_007795.1	768883	769794	+	912	9	24	52	6	30	18	26
SAOUHSC_00788	NC_007795.1	769791	770786	+	996	102	39	126	87	82	88	139
SAOUHSC_00789	NC_007795.1	770896	771840	+	945	319	50	62	160	169	154	246
SAOUHSC_T0005	NC_007795.1	772155	772226	-	72	1	2	0	0	1	0	0
SAOUHSC_00790	NC_007795.1	772413	773000	+	588	80	4	54	27	70	3	168
SAOUHSC_00792	NC_007795.1	773243	774145	-	903	170	26	79	118	236	47	245
SAOUHSC_00793	NC_007795.1	774848	775477	+	630	26	1	25	22	28	0	25
SAOUHSC_00794	NC_007795.1	776119	777132	+	1014	3308	217	980	1758	3148	2025	2130
SAOUHSC_00795	NC_007795.1	777185	778195	+	1011	4473	287	1213	2820	2964	1643	1853
SAOUHSC_00796	NC_007795.1	778334	779524	+	1191	4640	226	648	2847	2428	2014	823
SAOUHSC_00797	NC_007795.1	779646	780407	+	762	9287	375	901	3298	4001	3098	1805
SAOUHSC_00798	NC_007795.1	780410	781927	+	1518	4091	357	1443	1919	2570	1933	2714
SAOUHSC_00799	NC_007795.1	782057	783361	+	1305	6214	424	1223	4254	3887	2239	5876
SAOUHSC_00800	NC_007795.1	783701	784159	+	459	12	16	10	18	12	18	7
SAOUHSC_00801	NC_007795.1	784226	784459	+	234	12	0	30	0	4	2	65
SAOUHSC_00802	NC_007795.1	784575	785315	+	741	16	12	28	18	27	28	34
SAOUHSC_00803	NC_007795.1	785349	787721	+	2373	1958	213	664	506	479	570	1155
SAOUHSC_00804	NC_007795.1	787743	788207	+	465	435	70	76	104	149	100	190
SAOUHSC_00806	NC_007795.1	789529	789852	-	324	6	6	0	0	4	0	0
SAOUHSC_00807	NC_007795.1	789868	790014	-	147	3	2	0	0	4	0	0
SAOUHSC_00808	NC_007795.1	790206	790934	-	729	1	1	13	1	5	1	0
SAOUHSC_00809	NC_007795.1	791370	791525	+	156	2	0	2	1	0	0	0
SAOUHSC_00810	NC_007795.1	791533	792054	+	522	2	1	31	2	4	0	0
SAOUHSC_00811	NC_007795.1	792193	792723	+	531	0	0	11	0	1	4	22
SAOUHSC_00812	NC_007795.1	792986	795769	+	2784	97701	6638	1528	43486	63217	41132	11878
SAOUHSC_00816	NC_007795.1	797866	798888	+	1023	3	0	7	0	0	1	0
SAOUHSC_00817	NC_007795.1	799223	799693	+	471	0	0	0	1	1	0	2
SAOUHSC_00818	NC_007795.1	800034	800720	+	687	1	0	0	2	4	0	0
SAOUHSC_00819	NC_007795.1	801077	801277	+	201	134	40	66	52	74	38	408
SAOUHSC_00820	NC_007795.1	801773	801991	-	219	0	0	0	0	0	0	0
SAOUHSC_00821	NC_007795.1	802053	802337	-	285	4	0	2	2	6	0	6
SAOUHSC_00822	NC_007795.1	802425	802994	-	570	0	0	1	8	1	2	1
SAOUHSC_00823	NC_007795.1	803182	803370	-	189	0	3	26	3	0	5	1
SAOUHSC_00824	NC_007795.1	803399	803659	-	261	0	6	3	1	2	12	2
SAOUHSC_00825	NC_007795.1	804000	804203	+	204	44	75	211	45	48	100	72
SAOUHSC_00826	NC_007795.1	804200	804436	-	237	33	47	183	37	46	47	34
SAOUHSC_00827	NC_007795.1	804682	805242	+	561	3	2	2	2	0	4	52
SAOUHSC_00828	NC_007795.1	805315	805932	-	618	3	7	18	12	1	0	11
SAOUHSC_00830	NC_007795.1	806087	806581	-	495	61	18	121	54	47	31	937
SAOUHSC_00831	NC_007795.1	806980	807402	-	423	16	0	12	6	3	0	2
SAOUHSC_00832	NC_007795.1	807550	808266	+	717	11	6	0	12	11	4	42
SAOUHSC_00833	NC_007795.1	808349	808888	+	540	20	8	16	5	16	12	111
SAOUHSC_00834	NC_007795.1	809038	809358	-	321	130	0	10	15	28	24	74
SAOUHSC_00835	NC_007795.1	809502	809858	+	357	0	0	10	2	0	1	10
SAOUHSC_00836	NC_007795.1	810016	810396	+	381	210	2	10	85	166	69	71
SAOUHSC_00837	NC_007795.1	810460	810573	+	114	0	0	0	1	0	10	11
SAOUHSC_00838	NC_007795.1	810575	811453	+	879	12	0	0	23	36	14	18
SAOUHSC_00839	NC_007795.1	811872	811985	+	114	46	18	0	49	30	2	5
SAOUHSC_00840	NC_007795.1	812195	812581	+	387	4	0	22	0	4	8	4
SAOUHSC_00841	NC_007795.1	812574	812870	+	297	6	2	28	2	23	7	1
SAOUHSC_00842	NC_007795.1	813120	814145	+	1026	100	54	57	59	134	24	273
SAOUHSC_00843	NC_007795.1	814138	814833	+	696	162	42	50	272	387	102	193
SAOUHSC_00844	NC_007795.1	814851	815672	+	822	25	6	106	0	18	26	73
SAOUHSC_00845	NC_007795.1	816026	816220	+	195	8	0	0	4	2	494	0
SAOUHSC_00846	NC_007795.1	816453	817304	-	852	52	16	34	32	66	56	106
SAOUHSC_00847	NC_007795.1	817632	818393	+	762	31	0	10	1	10	6	34
SAOUHSC_00848	NC_007795.1	818491	819798	+	1308	2973	470	565	292	1293	975	3799
SAOUHSC_00849	NC_007795.1	819904	821154	+	1251	16437	1947	1759	2739	5947	2425	12995
SAOUHSC_00850	NC_007795.1	821144	821608	+	465	1017	238	245	177	340	325	524
SAOUHSC_00851	NC_007795.1	821759	823156	+	1398	5656	1120	1525	1093	5941	1043	4109
SAOUHSC_00852	NC_007795.1	823343	823480	+	138	0	3	0	1	0	0	0
SAOUHSC_00853	NC_007795.1	823486	823800	-	315	0	6	6	0	0	0	1
SAOUHSC_00854	NC_007795.1	824165	825205	+	1041	483	129	121	44	231	165	240
SAOUHSC_00855	NC_007795.1	825219	826286	+	1068	624	614	36	176	868	1497	262
SAOUHSC_00857	NC_007795.1	826353	826451	+	99	0	0	0	0	0	0	8
SAOUHSC_00858	NC_007795.1	826499	827347	+	849	36	1	24	0	18	2	29
SAOUHSC_00859	NC_007795.1	827360	828187	+	828	397	130	4107	175	252	116	258
SAOUHSC_00860	NC_007795.1	828214	829533	+	1320	281	35	131	47	97	135	355
SAOUHSC_00861	NC_007795.1	829617	830534	+	918	1227	223	164	650	836	462	1172
SAOUHSC_00862	NC_007795.1	830664	831047	+	384	0	11	22	4	16	9	11
SAOUHSC_00863	NC_007795.1	831126	831392	-	267	0	0	5	0	0	0	6
SAOUHSC_00864	NC_007795.1	831490	831924	+	435	14	0	5	4	2	6	12
SAOUHSC_00865	NC_007795.1	831924	832703	+	780	20	5	2	0	8	14	75
SAOUHSC_00866	NC_007795.1	832811	833695	+	885	86	118	104	85	129	74	471
SAOUHSC_00867	NC_007795.1	833949	834059	+	111	0	0	0	0	0	0	0
SAOUHSC_00868	NC_007795.1	834107	834259	+	153	4	0	0	0	0	0	0
SAOUHSC_00869	NC_007795.1	834275	835732	+	1458	1335	287	738	335	739	529	1651
SAOUHSC_00870	NC_007795.1	835729	836943	+	1215	538	209	488	147	476	234	625
SAOUHSC_00871	NC_007795.1	836961	837197	+	237	433	147	201	129	440	233	339
SAOUHSC_00872	NC_007795.1	837194	838369	+	1176	513	218	452	141	356	172	563
SAOUHSC_00873	NC_007795.1	838632	838874	-	243	14	4	0	2	14	5	302
SAOUHSC_00874	NC_007795.1	838975	839298	+	324	0	0	3	0	0	0	0
SAOUHSC_00875	NC_007795.1	839357	840421	-	1065	1414	374	88	150	514	228	750
SAOUHSC_00876	NC_007795.1	840738	840974	+	237	54	7	0	4	38	5	14
SAOUHSC_00877	NC_007795.1	840987	841346	+	360	199	47	126	96	200	109	342
SAOUHSC_00878	NC_007795.1	841800	843008	+	1209	422	66	305	246	248	172	724
SAOUHSC_00879	NC_007795.1	843139	844614	+	1476	143	24	45	242	219	125	294
SAOUHSC_00880	NC_007795.1	845025	846341	+	1317	1062	189	974	59	544	353	2433
SAOUHSC_00881	NC_007795.1	846360	846734	+	375	396	63	277	41	164	128	1184
SAOUHSC_00882	NC_007795.1	846790	847944	-	1155	14	0	36	4	16	8	29
SAOUHSC_00883	NC_007795.1	848193	848549	-	357	91	7	83	35	105	48	385
SAOUHSC_00884	NC_007795.1	848527	848820	-	294	127	40	232	40	180	100	436
SAOUHSC_00885	NC_007795.1	848820	849299	-	480	172	58	312	72	142	114	724
SAOUHSC_00886	NC_007795.1	849301	850797	-	1497	688	143	541	460	599	408	1541
SAOUHSC_00887	NC_007795.1	850790	851119	-	330	344	37	101	169	306	133	502
SAOUHSC_00888	NC_007795.1	851131	851559	-	429	155	23	68	16	125	77	348
SAOUHSC_00889	NC_007795.1	851552	853957	-	2406	1393	228	621	575	740	578	1897
SAOUHSC_00890	NC_007795.1	854088	854471	-	384	6	12	0	10	12	8	48
SAOUHSC_00891	NC_007795.1	854535	855128	+	594	138	26	8	73	124	56	107
SAOUHSC_00892	NC_007795.1	855577	855921	+	345	50	10	14	18	28	24	205
SAOUHSC_00893	NC_007795.1	856283	857410	+	1128	341	15	34	128	171	25	120
SAOUHSC_00894	NC_007795.1	857718	858908	+	1191	8204	1036	977	4233	6317	2122	5888
SAOUHSC_00895	NC_007795.1	859017	860261	+	1245	73752	7360	26868	23656	35835	14201	50581
SAOUHSC_00896	NC_007795.1	860487	860678	+	192	73	1	8	0	5	35	17
SAOUHSC_00897	NC_007795.1	860764	861693	-	930	76	45	49	11	58	29	113
SAOUHSC_00898	NC_007795.1	861935	863314	-	1380	2151	420	879	1212	1824	962	5186
SAOUHSC_00899	NC_007795.1	863304	864509	-	1206	668	127	264	268	620	453	1853
SAOUHSC_00900	NC_007795.1	864860	866191	+	1332	538	202	153	395	470	340	1637
SAOUHSC_00901	NC_007795.1	866516	867091	+	576	14	36	64	0	15	19	16
SAOUHSC_00902	NC_007795.1	867096	867620	+	525	23	45	57	0	38	13	26
SAOUHSC_00903	NC_007795.1	867744	868211	+	468	29	0	21	1	3	21	12
SAOUHSC_00904	NC_007795.1	868371	871847	+	3477	216	94	243	45	155	381	873
SAOUHSC_00905	NC_007795.1	871848	875501	+	3654	1082	221	285	1027	988	978	1988
SAOUHSC_00906	NC_007795.1	875667	876569	+	903	595	86	130	154	299	306	671
SAOUHSC_00907	NC_007795.1	876898	877287	+	390	0	0	0	12	6	0	5
SAOUHSC_00908	NC_007795.1	877458	878774	-	1317	2440	375	265	1355	3097	782	4082
SAOUHSC_00909	NC_007795.1	878826	879650	-	825	76	70	56	46	119	58	276
SAOUHSC_00910	NC_007795.1	879806	880072	+	267	1147	292	96	1424	1912	17	180
SAOUHSC_00911	NC_007795.1	880619	882433	+	1815	22	0	0	0	4	2	10
SAOUHSC_00912	NC_007795.1	882636	885245	+	2610	23576	1731	1326	3141	2822	815	10039
SAOUHSC_00913	NC_007795.1	885304	886173	-	870	4	0	10	8	6	1	2
SAOUHSC_00914	NC_007795.1	886283	887428	+	1146	10	0	0	5	0	2	3
SAOUHSC_00915	NC_007795.1	887412	888053	+	642	1	0	0	0	0	1	0
SAOUHSC_00916	NC_007795.1	888046	889164	+	1119	0	1	0	3	0	0	0
SAOUHSC_00917	NC_007795.1	889148	889663	+	516	5	0	2	5	0	0	5
SAOUHSC_00919	NC_007795.1	890665	890850	-	186	16	8	9	10	4	0	132
SAOUHSC_00920	NC_007795.1	891145	892086	+	942	52	14	160	30	20	14	313
SAOUHSC_00921	NC_007795.1	892098	893342	+	1245	449	66	94	223	258	128	1010
SAOUHSC_00922	NC_007795.1	893397	893768	-	372	0	0	0	0	0	1	0
SAOUHSC_00923	NC_007795.1	894011	894937	+	927	30	9	115	39	46	29	56
SAOUHSC_00924	NC_007795.1	894937	896007	+	1071	590	86	546	274	304	262	1110
SAOUHSC_00925	NC_007795.1	896024	897106	+	1083	566	60	712	200	155	140	1624
SAOUHSC_00926	NC_007795.1	897096	898037	+	942	479	152	178	418	652	504	117
SAOUHSC_00927	NC_007795.1	898056	899711	+	1656	282	100	180	262	394	203	598
SAOUHSC_00928	NC_007795.1	899923	901638	+	1716	2	1	0	1	5	2	3
SAOUHSC_00929	NC_007795.1	901689	902675	+	987	0	4	0	8	1	6	6
SAOUHSC_00930	NC_007795.1	902678	903658	+	981	0	2	10	0	1	7	9
SAOUHSC_00931	NC_007795.1	903651	904613	+	963	1	0	5	4	3	0	0
SAOUHSC_00932	NC_007795.1	904625	905506	+	882	1	0	0	0	3	0	5
SAOUHSC_00933	NC_007795.1	905548	906537	-	990	116	18	12	38	90	51	188
SAOUHSC_00934	NC_007795.1	906832	907227	+	396	7619	3480	4592	6518	4898	7272	25450
SAOUHSC_00935	NC_007795.1	907598	908317	+	720	582	234	618	412	693	221	836
SAOUHSC_00936	NC_007795.1	908438	909424	+	987	2	0	0	0	2	0	1
SAOUHSC_00937	NC_007795.1	909472	911280	+	1809	81	2	51	27	31	60	137
SAOUHSC_00938	NC_007795.1	911740	912546	-	807	104	28	98	44	151	63	242
SAOUHSC_00939	NC_007795.1	912569	912886	-	318	46	22	43	8	55	34	143
SAOUHSC_00940	NC_007795.1	913038	913631	-	594	4	0	0	0	6	10	34
SAOUHSC_00941	NC_007795.1	913817	914164	+	348	6	1	2	0	0	0	55
SAOUHSC_00942	NC_007795.1	914181	914816	+	636	183	270	652	135	178	307	278
SAOUHSC_00943	NC_007795.1	914833	915642	+	810	214	65	219	118	165	155	701
SAOUHSC_00944	NC_007795.1	915639	916493	+	855	56	6	21	14	101	88	288
SAOUHSC_00945	NC_007795.1	916514	917899	+	1386	854	238	821	424	473	390	762
SAOUHSC_00946	NC_007795.1	917909	919753	+	1845	363	132	457	162	230	273	468
SAOUHSC_00947	NC_007795.1	920031	920801	+	771	355	279	1167	777	421	232	156
SAOUHSC_00948	NC_007795.1	920996	922081	-	1086	146	71	205	39	80	49	201
SAOUHSC_00949	NC_007795.1	922423	923991	+	1569	82	2	96	15	70	34	120
SAOUHSC_00950	NC_007795.1	924133	924891	+	759	2	0	0	5	2	7	3
SAOUHSC_00951	NC_007795.1	925085	925594	+	510	54	4	46	28	26	10	73
SAOUHSC_00952	NC_007795.1	925707	926915	-	1209	445	158	197	90	234	140	500
SAOUHSC_00953	NC_007795.1	926875	928050	-	1176	439	125	80	159	364	172	563
SAOUHSC_00954	NC_007795.1	928483	929964	+	1482	119	27	198	70	70	114	58
SAOUHSC_00955	NC_007795.1	929948	930208	+	261	0	6	0	0	8	0	0
SAOUHSC_00956	NC_007795.1	930208	931770	+	1563	112	46	70	100	99	69	18
SAOUHSC_00957	NC_007795.1	932072	932875	+	804	113	33	16	70	20	13	160
SAOUHSC_00958	NC_007795.1	933094	935418	+	2325	19	0	10	7	15	14	59
SAOUHSC_00959	NC_007795.1	935435	936793	+	1359	123	64	94	30	50	45	222
SAOUHSC_00960	NC_007795.1	936932	938443	+	1512	16	14	132	14	14	88	151
SAOUHSC_T00049	NC_007795.1	938623	938711	-	89	0	0	0	8	0	0	4
SAOUHSC_T0008	NC_007795.1	938714	938788	-	75	0	0	0	8	0	0	4
SAOUHSC_00961	NC_007795.1	938930	939460	-	531	3	0	0	10	1	2	12
SAOUHSC_00962	NC_007795.1	939709	939927	+	219	1	0	24	0	0	0	12
SAOUHSC_00963	NC_007795.1	940008	940994	-	987	3	6	30	0	3	2	11
SAOUHSC_00964	NC_007795.1	941193	941369	+	177	42	29	42	13	55	30	20
SAOUHSC_00965	NC_007795.1	941384	941986	+	603	39	44	48	10	69	23	21
SAOUHSC_00966	NC_007795.1	942257	942364	+	108	12	0	28	0	6	10	24
SAOUHSC_00967	NC_007795.1	942903	943004	+	102	0	0	0	0	0	0	0
SAOUHSC_00968	NC_007795.1	943330	945294	+	1965	0	0	44	3	2	0	12
SAOUHSC_00969	NC_007795.1	945297	945617	+	321	0	0	12	0	0	0	0
SAOUHSC_00970	NC_007795.1	945614	946255	+	642	0	0	0	1	0	0	0
SAOUHSC_00971	NC_007795.1	946343	946633	-	291	50	0	20	6	23	0	20
SAOUHSC_00972	NC_007795.1	946912	947199	+	288	0	0	0	0	0	0	0
SAOUHSC_00975	NC_007795.1	948776	949132	-	357	0	0	8	0	0	1	0
SAOUHSC_00976	NC_007795.1	949716	950579	+	864	0	0	0	1	0	0	5
SAOUHSC_00977	NC_007795.1	950625	950756	-	132	12	0	18	4	4	10	0
SAOUHSC_00978	NC_007795.1	950820	951110	-	291	24	0	27	8	2	14	0
SAOUHSC_00979	NC_007795.1	951200	951751	+	552	2	0	0	0	0	0	6
SAOUHSC_00980	NC_007795.1	951802	952740	-	939	92	9	27	44	46	56	143
SAOUHSC_00981	NC_007795.1	952891	952995	+	105	0	1	0	0	0	1	2
SAOUHSC_00982	NC_007795.1	953072	954283	+	1212	56	64	28	14	46	12	66
SAOUHSC_00983	NC_007795.1	954270	955943	+	1674	197	204	92	179	190	240	340
SAOUHSC_00984	NC_007795.1	955930	956733	+	804	93	39	24	21	77	56	270
SAOUHSC_00985	NC_007795.1	956726	957547	+	822	1298	186	84	334	312	417	2170
SAOUHSC_00986	NC_007795.1	957786	958115	-	330	30	0	8	0	6	0	2
SAOUHSC_00987	NC_007795.1	958153	959334	-	1182	175	10	64	5	38	12	123
SAOUHSC_00988	NC_007795.1	959416	960426	-	1011	420	18	33	10	38	36	6
SAOUHSC_00989	NC_007795.1	960954	962108	-	1155	113	8	24	6	52	24	180
SAOUHSC_00991	NC_007795.1	962304	963314	-	1011	0	24	12	6	44	15	4
SAOUHSC_00992	NC_007795.1	963467	963886	+	420	0	4	0	16	12	2	0
SAOUHSC_00993	NC_007795.1	963913	964023	+	111	0	0	0	3	0	0	0
SAOUHSC_00994	NC_007795.1	964093	967863	-	3771	4104	632	1188	8072	3858	3349	16657
SAOUHSC_00995	NC_007795.1	968091	968525	-	435	0	0	12	1	2	12	7
SAOUHSC_00996	NC_007795.1	968680	969150	-	471	109	16	55	36	88	28	133
SAOUHSC_00997	NC_007795.1	969198	970415	-	1218	186	25	17	63	66	28	469
SAOUHSC_00998	NC_007795.1	970866	972059	+	1194	7	0	0	0	0	0	14
SAOUHSC_00999	NC_007795.1	972596	972874	-	279	1683	175	542	723	743	410	1824
SAOUHSC_01000	NC_007795.1	972883	973488	-	606	2744	431	1351	1097	1344	810	4915
SAOUHSC_01001	NC_007795.1	973478	975466	-	1989	9428	1951	5299	5151	6606	4392	27943
SAOUHSC_01002	NC_007795.1	975466	976566	-	1101	3997	657	1718	1979	2083	1370	8846
SAOUHSC_01003	NC_007795.1	976868	976990	+	123	0	10	0	0	0	1	0
SAOUHSC_01005	NC_007795.1	977138	977455	-	318	74	12	50	0	12	13	127
SAOUHSC_01007	NC_007795.1	978261	979121	-	861	1588	428	509	1296	1447	290	1300
SAOUHSC_01008	NC_007795.1	979385	979804	+	420	174	0	12	101	101	53	49
SAOUHSC_01009	NC_007795.1	979791	980915	+	1125	57	2	30	45	53	27	49
SAOUHSC_01010	NC_007795.1	980919	981623	+	705	19	2	14	1	5	2	44
SAOUHSC_01011	NC_007795.1	981623	981886	+	264	20	12	46	9	6	4	29
SAOUHSC_01012	NC_007795.1	981888	982559	+	672	62	15	48	40	39	26	14
SAOUHSC_01013	NC_007795.1	982552	984741	+	2190	385	55	435	142	110	725	403
SAOUHSC_01014	NC_007795.1	984720	986204	+	1485	651	83	315	292	221	745	522
SAOUHSC_01015	NC_007795.1	986197	987225	+	1029	212	4	115	56	82	99	224
SAOUHSC_01016	NC_007795.1	987228	987794	+	567	99	8	134	16	34	39	97
SAOUHSC_01017	NC_007795.1	987809	989287	+	1479	868	162	590	298	456	208	438
SAOUHSC_01018	NC_007795.1	989309	990556	+	1248	171	62	256	99	78	80	196
SAOUHSC_01019	NC_007795.1	990821	991627	-	807	8	17	45	8	14	23	66
SAOUHSC_01021	NC_007795.1	991620	993020	-	1401	598	100	387	201	169	344	1373
SAOUHSC_01022	NC_007795.1	993035	993610	-	576	109	42	114	46	63	87	338
SAOUHSC_01023	NC_007795.1	993974	994093	+	120	18	3	0	6	4	0	0
SAOUHSC_01024	NC_007795.1	994194	994328	-	135	0	4	2	0	0	0	0
SAOUHSC_01025	NC_007795.1	994480	995775	+	1296	606	276	1018	128	304	341	964
SAOUHSC_01026	NC_007795.1	996200	997372	+	1173	113	60	214	34	54	95	136
SAOUHSC_01027	NC_007795.1	997426	997968	+	543	32	24	39	28	22	12	98
SAOUHSC_01028	NC_007795.1	998122	998388	+	267	286	58	245	200	213	127	403
SAOUHSC_01029	NC_007795.1	998391	1000109	+	1719	3882	541	2923	1362	1556	1766	3721
SAOUHSC_01030	NC_007795.1	1000346	1000579	-	234	3	0	0	0	0	0	1
SAOUHSC_01031	NC_007795.1	1000777	1002138	+	1362	105	41	135	44	90	172	238
SAOUHSC_01032	NC_007795.1	1002135	1003154	+	1020	193	123	454	60	168	233	90
SAOUHSC_01034	NC_007795.1	1003287	1003949	+	663	139	76	38	66	153	67	161
SAOUHSC_A00992	NC_007795.1	1003967	1004122	+	156	22	0	6	69	44	0	77
SAOUHSC_01035	NC_007795.1	1004298	1005995	-	1698	1760	519	605	653	1192	562	3916
SAOUHSC_01036	NC_007795.1	1005995	1006213	-	219	11	3	9	7	11	7	82
SAOUHSC_01037	NC_007795.1	1006242	1006364	-	123	0	0	0	0	0	0	0
SAOUHSC_01038	NC_007795.1	1006694	1007245	-	552	54	0	30	10	20	14	29
SAOUHSC_01039	NC_007795.1	1007610	1008236	+	627	10	12	18	3	10	10	6
SAOUHSC_01040	NC_007795.1	1008407	1009519	+	1113	14412	3394	4071	13987	7881	9097	27494
SAOUHSC_01041	NC_007795.1	1009523	1010500	+	978	9339	2289	6884	10128	4920	6672	22235
SAOUHSC_01042	NC_007795.1	1010591	1011883	+	1293	36133	9038	20435	31443	25824	26681	70122
SAOUHSC_01043	NC_007795.1	1011887	1013293	+	1407	55899	18283	22497	42882	35261	20094	73846
